Lp,Periods,Correlation,Methods
388,6,0.859781091923949,DARIA-TOPSIS/DARIA-VIKOR
389,6,0.3054465375893948,DARIA-TOPSIS/AVG TOPSIS
390,6,0.16832373975231119,DARIA-VIKOR/AVG VIKOR
391,6,0.8566849816849818,AVG TOPSIS/AVG VIKOR
392,7,0.8632696668410954,DARIA-TOPSIS/DARIA-VIKOR
393,7,0.3464154892726321,DARIA-TOPSIS/AVG TOPSIS
394,7,0.27173818245246817,DARIA-VIKOR/AVG VIKOR
395,7,0.90068463282749,AVG TOPSIS/AVG VIKOR
396,8,0.8787502180359323,DARIA-TOPSIS/DARIA-VIKOR
397,8,0.17793912436769577,DARIA-TOPSIS/AVG TOPSIS
398,8,0.09892290249433111,DARIA-VIKOR/AVG VIKOR
399,8,0.9515960230245945,AVG TOPSIS/AVG VIKOR
400,9,0.5703383917669632,DARIA-TOPSIS/DARIA-VIKOR
401,9,0.12122797837083554,DARIA-TOPSIS/AVG TOPSIS
402,9,0.18513431013431014,DARIA-VIKOR/AVG VIKOR
403,9,0.871162567591139,AVG TOPSIS/AVG VIKOR
404,10,0.9504186289900576,DARIA-TOPSIS/DARIA-VIKOR
405,10,0.3327446363160649,DARIA-TOPSIS/AVG TOPSIS
406,10,0.1442743764172335,DARIA-VIKOR/AVG VIKOR
